Organisation,Environment,Application,Status,vCore Usage,Last Updated,Mule Message in last 30 days
HR,eu-prod,bel-eu-gbl-hr-benefit-prc-v1-prd,STARTED,0.2,2023-01-28 15:18:31.668000,0
Supply Chain,na-test,bel-na-gbl-physical-inventory-exp-v1-tst,UNDEPLOYED,0.1,2023-01-23 15:30:22.562000,0
Customer,eu-dev,bel-eu-gbl-order-prc-v1-dev,STARTED,0.1,2023-02-15 15:17:38.222000,379
Finance,eu-prod,bel-eu-gbl-gl-ledger-exp-v1-prd,STARTED,0.2,2023-01-29 02:45:26.633000,42
EWP,eu-dev,bel-eu-gbl-account-prc-v1-dev,STARTED,0.1,2023-02-13 15:03:19.894000,1617
Obrien AU,apac-dev,bel-apac-au-apt-event-publisher-exp-v1-dev,STARTED,0.1,2023-02-15 12:19:47.495000,130
Autoglass UK,eu-prod,bel-eu-gbl-avaya-sys-v1-prd,STARTED,0.1,2023-01-29 06:34:06.632000,31208
Carglass DE,eu-test,bel-eu-de-mdm-sys-v1-tst,STARTED,0.1,2023-02-08 12:31:12.015000,3272
HR,eu-prod,bel-eu-gbl-hr-benefit-sys-v1-prd,STARTED,0.2,2023-01-28 15:29:08.721000,0
Safelite US,na-test,safelite-connectivity-chtest-api,UNDEPLOYED,0.1,2023-01-26 09:12:07.527000,0
Supply Chain,na-test,bel-na-gbl-physical-inventory-prc-v1-tst,UNDEPLOYED,0.1,2023-01-23 15:43:53.040000,0
Finance,eu-prod,bel-eu-gbl-ic-invoice-prc-v1-prd,STARTED,0.1,2023-01-29 02:50:52.155000,30
EWP,eu-dev,bel-eu-gbl-ewp-exp-v1-dev,STARTED,0.1,2023-02-16 12:51:37.877000,4857
Obrien AU,apac-dev,bel-apac-au-click-sys-v1-dev,STARTED,0.1,2023-02-13 03:53:30.567000,154
C4E,na-prod,bel-na-gbl-helloworld-exp-v1-prd,STARTED,0.1,2023-01-29 02:24:26.515000,22
Autoglass UK,eu-prod,bel-eu-uk-remedy-prc-v1-prd,STARTED,0.1,2023-01-29 06:37:46.433000,31212
HR,eu-prod,bel-eu-gbl-hr-tna-sys-v1-prd,STARTED,0.2,2023-01-28 15:42:12.798000,0
Carglass DE,eu-test,bel-eu-de-mdm-prc-v1-tst,STARTED,0.1,2023-02-08 12:24:28.041000,11
Safelite US,na-test,bel-na-sfl-servicechannel-sys-v1-tst,STARTED,0.1,2023-02-07 09:39:08.956000,12
Supply Chain,na-test,bel-na-gbl-cycle-count-prc-v1-tst,UNDEPLOYED,0.1,2023-01-23 19:16:39.082000,0
EWP,eu-dev,bel-eu-at-comm-bookingsummary-sys-v1-dev,UNDEPLOYED,0.1,2023-02-14 11:46:06.347000,0
Obrien AU,apac-dev,bel-apac-au-google-maps-sys-v1-dev,STARTED,0.1,2023-02-12 19:28:42.389000,30
Finance,eu-prod,bel-eu-gbl-gl-code-prc-v1-prd,STARTED,0.1,2023-01-29 02:57:13.916000,0
C4E,na-prod,bel-na-gbl-helloworld-prc-v1-prd,STARTED,0.1,2023-01-29 02:31:09.586000,22
HR,eu-prod,bel-eu-gbl-hr-tna-prc-v1-prd,STARTED,0.2,2023-02-13 15:00:05.608000,0
Carglass DE,eu-test,bel-eu-gbl-bosch-core-sys-v1-tst,STARTED,0.1,2023-01-26 20:27:29.109000,9972
Safelite US,na-test,bel-na-sfl-okta-sys-v1-tst,UNDEPLOYED,0.1,2023-01-26 12:13:20.177000,0
Supply Chain,na-test,bel-na-gbl-supplier-ofcf-sys-v1-tst,STARTED,0.1,2023-02-09 12:03:44.029000,0
Finance,eu-prod,bel-eu-gbl-fx-rate-prc-v1-prd,STARTED,0.1,2023-01-29 03:10:19.393000,30
EWP,eu-dev,bel-eu-gbl-ewp-workorder-prc-v1-dev,STARTED,0.1,2023-02-15 12:38:37.532000,796
C4E,na-prod,bel-na-gbl-helloworld-sys-v1-prd,STARTED,0.1,2023-01-29 02:41:13.373000,0
Autoglass UK,eu-dev,bel-eu-uk-avaya-exp-v1-dev,STARTED,0.1,2023-01-24 19:25:55.973000,0
Carglass DE,eu-test,bel-eu-gbl-calibration-prc-v1-tst,STARTED,0.1,2023-01-26 20:32:33.189000,267
Safelite US,na-test,bel-na-sfl-eft-sys-v1-tst,STARTED,0.1,2023-01-26 12:27:57.941000,50
Supply Chain,na-test,bel-na-gbl-purchase-order-ofcf-sys-v1-tst,STARTED,0.1,2023-02-08 16:02:58.492000,286
Finance,eu-prod,bel-eu-gbl-expense-invoice-prc-v1-prd,STARTED,0.1,2023-01-29 03:18:23.606000,39
EWP,eu-dev,bel-eu-gbl-awsses-sys-v1-dev,STARTED,0.1,2023-02-16 08:31:48.074000,912
Obrien AU,apac-prod,bel-apac-au-click-sys-v1-prd,UNDEPLOYED,0.1,2023-02-16 08:29:09.709000,39
C4E,na-prod,bel-na-c4e-imdm-motorist-exp-v1-prd,STARTED,0.1,2023-01-29 03:23:19.892000,0
Carglass DE,eu-test,bel-eu-de-calibration-exp-v1-tst,STARTED,0.1,2023-01-26 20:40:15.240000,179
Autoglass UK,eu-dev,bel-eu-uk-remedy-sys-v1-dev,STARTED,0.1,2023-01-24 19:42:29.547000,0
Safelite US,na-test,bel-na-sfl-realestatefacility-exp-v1-tst,UNDEPLOYED,0.1,2023-01-26 12:31:19.770000,0
Supply Chain,na-test,bel-na-gbl-asn-ofcf-sys-v1-tst,STARTED,0.1,2023-02-16 14:54:33.575000,102
C4E,na-prod,bel-na-c4e-amazon-exp-v1-prd,STARTED,0.1,2023-01-29 03:39:42.064000,0
Obrien AU,apac-prod,bel-apac-au-helloworld-exp-v1-prd,STARTED,0.1,2023-02-14 17:13:38.116000,0
Safelite US,na-test,bel-na-sfl-realestatefacility-prc-v1-tst,STARTED,0.1,2023-01-26 12:48:51.454000,0
Supply Chain,na-test,bel-na-gbl-aslbpa-prc-v1-tst,STARTED,0.1,2023-01-23 20:18:16.933000,0
C4E,na-prod,bel-na-c4e-pipeline-test-exp-prd,UNDEPLOYED,0.1,2023-01-29 03:50:12.140000,0
Safelite US,na-test,bel-na-sfl-batcheft-exp-v1-tst,STARTED,0.1,2023-01-26 12:58:51.607000,30
EWP,eu-dev,bel-eu-gbl-ewp-notification-sys-v1-dev,STARTED,0.1,2023-02-15 12:49:57.796000,412
Supply Chain,na-test,bel-na-gbl-location-ofcf-sys-v1-tst,STARTED,0.1,2023-02-14 05:16:47.099000,20
Carglass DE,eu-test,bel-eu-de-calibration-job-sys-v1-tst,STARTED,0.1,2023-01-26 20:55:14.435000,0
Obrien AU,apac-prod,bel-apac-au-google-maps-sys-v1-prd,STARTED,0.1,2023-02-13 02:15:35.416000,20
Autoglass UK,eu-dev,bel-eu-uk-remedy-prc-v1-dev,STARTED,0.1,2023-01-24 19:49:22.344000,38
Customer,apac-dev,bel-apac-gbl-sfdc-motorist-sys-v01-dev,UNDEPLOYED,0.1,2023-01-24 23:01:01.897000,0
C4E,na-prod,bel-na-gbl-net-tools-exp-v1-prd,STARTED,0.1,2023-01-29 04:12:45.865000,0
Safelite US,na-test,bel-na-sfl-safelitebatch-exp-v1-tst,STARTED,0.1,2023-02-15 07:14:30.496000,6535
HR,na-dev,bel-na-gbl-gmft-sys-v1-dev,STARTED,0.1,2023-01-27 03:37:59.930000,11583
Carglass DE,eu-test,workdayemailupdateprod,UNDEPLOYED,0.1,2023-01-26 20:55:17.747000,0
Supply Chain,na-test,bel-na-gbl-worker-ofcf-sys-v1-tst,STARTED,0.1,2023-01-23 20:46:20.201000,0
Autoglass UK,eu-dev,bel-eu-gbl-avaya-sys-v1-dev,STARTED,0.1,2023-01-24 20:38:16.565000,0
Obrien AU,apac-prod,bel-apac-au-scheduling-resource-prc-v1-prd,STARTED,0.1,2023-02-14 18:24:13.055000,232
C4E,na-prod,bel-na-c4e-pipeline-test2-exp-v1-prd,STARTED,0.1,2023-01-29 04:23:07.690000,0
Safelite US,na-test,bel-na-sfl-oms-prc-v1-tst,UNDEPLOYED,0.8,2023-01-26 15:02:13.964000,0
Supply Chain,na-test,bel-na-gbl-supplier-asn-prc-v1-tst,STARTED,0.1,2023-02-15 08:55:25.495000,96
Carglass DE,eu-test,bel-eu-de-buejo-sys-v1-tst,STARTED,0.1,2023-02-15 11:20:38.105000,6872
Obrien AU,apac-prod,bel-apac-au-apt-event-publisher-exp-v1-prd,STARTED,0.1,2023-02-15 17:34:33.921000,512
C4E,na-prod,bel-na-c4e-demo-pipeline101-exp-v1-prd,STARTED,0.1,2023-01-29 04:38:49.113000,0
Safelite US,na-test,bel-na-sfl-oms-sys-v1-tst,UNDEPLOYED,1.0,2023-01-26 15:16:41.238000,0
Finance,na-dev,bel-na-gbl-bulk-import-ofcf-sys-v1-dev,UNDEPLOYED,0.1,2023-01-25 05:41:21.409000,0
